District_Name,Zone_Number,Zone_Area_sqm,File_Name
Banke,1,142197242.90978506,zone_1_data.csv
Banke,2,132601091.2674165,zone_2_data.csv
Banke,3,215087375.63412392,zone_3_data.csv
Banke,4,152921266.68361607,zone_4_data.csv
Banke,5,1751107.2193249098,zone_5_data.csv
Banke,6,66286021.04702089,zone_6_data.csv
Banke,7,214218987.01754132,zone_7_data.csv
Banke,8,215087375.63412392,zone_8_data.csv
Banke,9,133139793.30861633,zone_9_data.csv
Banke,10,55206511.46089918,zone_10_data.csv
Banke,11,215087375.63412392,zone_11_data.csv
Banke,12,159665989.67883182,zone_12_data.csv
Banke,13,3340370.297870591,zone_13_data.csv
Banke,14,172302087.57028523,zone_14_data.csv
Bardiya,1,56762888.089469135,zone_1_data.csv
Bardiya,2,42676938.60035776,zone_2_data.csv
Bardiya,3,182050298.29556757,zone_3_data.csv
Bardiya,4,170299941.61739367,zone_4_data.csv
Bardiya,5,57321527.845341526,zone_5_data.csv
Bardiya,6,210422984.13283357,zone_6_data.csv
Bardiya,7,215087375.63412392,zone_7_data.csv
Bardiya,8,211124984.0942799,zone_8_data.csv
Bardiya,9,56504434.98768379,zone_9_data.csv
Bardiya,10,74581371.73005983,zone_10_data.csv
Bardiya,11,205872474.12322518,zone_11_data.csv
Bardiya,12,215087375.63412392,zone_12_data.csv
Bardiya,13,93796256.87607402,zone_13_data.csv
Bardiya,14,61956348.50463917,zone_14_data.csv
Bardiya,15,145293678.88674244,zone_15_data.csv
Surkhet,1,187900.31719674423,zone_1_data.csv
Surkhet,2,127065524.79261282,zone_2_data.csv
Surkhet,3,79818226.8278487,zone_3_data.csv
Surkhet,4,109309507.36788058,zone_4_data.csv
Surkhet,5,158582940.64644006,zone_5_data.csv
Surkhet,6,215087375.63412392,zone_6_data.csv
Surkhet,7,108315253.50327481,zone_7_data.csv
Surkhet,8,125678309.30976371,zone_8_data.csv
Surkhet,9,212960296.55922812,zone_9_data.csv
Surkhet,10,112715651.0405841,zone_10_data.csv
Surkhet,11,72951908.45105092,zone_11_data.csv
Surkhet,12,214662576.62225413,zone_12_data.csv
Surkhet,13,142256974.7623965,zone_13_data.csv
Surkhet,14,136642344.46752977,zone_14_data.csv
Surkhet,15,215087375.63412392,zone_15_data.csv
Surkhet,16,139528390.85656607,zone_16_data.csv
Surkhet,17,89741151.40531677,zone_17_data.csv
Surkhet,18,155331816.6190076,zone_18_data.csv
Surkhet,19,68704744.62593529,zone_19_data.csv
Dang,1,43960631.152286194,zone_1_data.csv
Dang,2,95122223.50402328,zone_2_data.csv
Dang,3,206798263.49135792,zone_3_data.csv
Dang,4,150419103.45745894,zone_4_data.csv
Dang,5,255352935.73652035,zone_5_data.csv
Dang,6,215087375.63412392,zone_6_data.csv
Dang,7,215087375.63412392,zone_7_data.csv
Dang,8,211572839.59365803,zone_8_data.csv
Dang,9,215087375.63412392,zone_9_data.csv
Dang,10,215087375.63412392,zone_10_data.csv
Dang,11,156100174.35996482,zone_11_data.csv
Dang,12,178403605.52207068,zone_12_data.csv
Dang,13,215087375.63412392,zone_13_data.csv
Dang,14,284558322.6617822,zone_14_data.csv
Dang,15,78517453.35563016,zone_15_data.csv
Dang,16,169455175.532649,zone_16_data.csv
Dang,17,95751162.82377724,zone_17_data.csv
Salyan,1,92494914.27028292,zone_1_data.csv
Salyan,2,73535712.24359982,zone_2_data.csv
Salyan,3,216210558.93822303,zone_3_data.csv
Salyan,4,125346224.22880717,zone_4_data.csv
Salyan,5,82889283.02978803,zone_5_data.csv
Salyan,6,131500448.53635867,zone_6_data.csv
Salyan,7,215087375.63412392,zone_7_data.csv
Salyan,8,215087375.63412392,zone_8_data.csv
Salyan,9,81474560.83279791,zone_9_data.csv
Salyan,10,148505184.07363647,zone_10_data.csv
Salyan,11,213855791.7786351,zone_11_data.csv
Salyan,12,214215051.02319366,zone_12_data.csv
Salyan,13,64582620.16053325,zone_13_data.csv
Salyan,14,61058669.93525765,zone_14_data.csv
